title,date,desc
چک اسکنر گروهی، خدمت تازه بانک اقتصادنوین به مشتریان حقوقی,۱۴۰۴/۰۱/۲۴,چک اسکنر گروهی، خدمت تازه بانک اقتصادنوین به مشتریان حقوقی به منظور تسهیل فرآیند واگذاری چک با تعداد بالا برای مشتریان حقوقی، دستگاه چک اسکنر گروهی در شعب منتخب بانک اقتصادنوین راه اندازی شد. به گزارش روابط عمومی بانک اقتصادنوین، دستگاه چک اسکنر گروهی، قابلیت خواندن QR متناظر با شناسه صیاد روی چک از طریق قابلیت OCR را دارد. با استفاده از این خدمت، شناسایی شناسه صیاد و سایر اقلام اطلاعاتی ثبت شده روی چک از طریق نرم افزار پویش چک، به سرعت و در تعداد بالا امکان‌پذیر است. اکنون دستگاه چک اسکنر گروهی در شعب صنعتگران، جهاد قم، بلوار امین قم، مطهری، اسفندیار و سهروردی در حال بهره برداری است.
موفقیت چشمگیر بانک اقتصاد نوین در محاکم قضایی,۱۴۰۴/۰۱/۳۰,موفقیت چشمگیر بانک اقتصاد نوین در محاکم قضایی در سال گذشته بانک اقتصادنوین موفق شد 121 حکم قضایی را به نفع خود علیه بدهکاران کلان دریافت کند. به گزارش روابط عمومی بانک اقتصادنوین، مدیریت وصول مطالبات و حقوقی این بانک با کمک مراجع قضایی حقوقی و کیفری، طی سال 1403 در بخش ریالی بیش از 23 هزار میلیارد ریال حکم به نفع بانک دریافت کرده است. همچنین تلاش های این بخش به تثبیت حقوق ارزی بانک با رقمی حدود 12 میلیون یورو منتهی شد. این اقدامات که موفقیتی چشمگیر در مقابله با بدهکاران بانکی تلقی می شود، موجب افزایش توان مالی بانک به منظور بهبود کیفیت خدمات رسانی به مشتریان و حفظ حقوق سهامداران خواهد شد.
روان‌سازی فرایندها به افزایش رضایت مشتری می‌انجامد,۱۴۰۴/۰۱/۳۰,رئیس هیئت‌مدیره بانک اقتصاد نوین در بازدید از شعبه مرکزی: روان‌سازی فرایندها به افزایش رضایت مشتری می‌انجامد «محسن زرندی مقدم» رئیس هیئت‌مدیره و «حسن مونسان» معاون بانکداری خرد و عضو هیئت عامل بانک اقتصاد نوین از شعبه مرکزی این بانک بازدید کردند. به گزارش روابط عمومی بانک اقتصاد نوین، رئیس هیئت‌مدیره بانک پس از بررسی عملکرد شعبه مرکزی و نیز گفت‌وگو با کارکنان، بر لزوم ارائه خدمات با بهترین کیفیت به مشتریان تأکید کرد و گفت: روان‌سازی فرایندها و کاهش روندهای پرپیچ‌وخم اداری، می‌تواند به افزایش رضایت مشتری و نیز کاهش هزینه‌های مادی و معنوی بانک بیانجامد. زرندی مقدم همچنین با تأکید بر این‌که همه کارکنان شعب باید به مقررات و قوانین بانکداری اشراف کامل داشته و نسبت به نوسان درآمد و هزینه و NPL شعبه و بانک حساسیت لازم را داشته باشند، اظهار کرد: همه باید تلاش کنیم که سهم بازار بانک افزایش یافته و شاخص‌های عملکردی آن بیش‌ازپیش بهبود یابد. رئیس هیئت‌مدیره همچنین جانشین پروری را از پروژه‌های مهم در دستور کار حوزه منابع انسانی بانک خواند و خاطرنشان کرد: بانک اقتصاد نوین با طراحی مدل‌های جدید و محصولات نوین، دوران شکوفایی را تجربه خواهد کرد. معاون بانکداری خرد بانک اقتصاد نوین نیز در این بازدید با بیان این‌که ریسک تمرکز بر روی مشتریان کلان باید کاهش یافته و مشتریان خرد نیز باید از خدمات بانک بهره‌مند شوند، اظهار کرد: جذب منابع به‌خودی‌خود نباید در اولویت باشد، بلکه محل ورود منابع به بانک نیز از اهمیت بالایی برخوردار است. مونسان لزوم ایجاد تعادل در میزان و نحوه ارائه خدمات به مشتریان را مورد تأکید قرار داد و خاطرنشان کرد: توسعه خدمات ارزی در کنار توسعه خدمات ریالی، الزامی است و از این رو باید منابع انسانی در جناح ارزی نیز با قدرت و سرعت، تقویت شوند. وی همچنین تأکید کرد که اهداف کمی مشخص شده برای کارکنان در سال جاری، فراتر از اهداف در نظر گرفته شده در سال گذشته است و تحقق آن‌ها، همت و تلاش مضاعف و بازاریابی هدفمند بر اساس روشهای روز و علمی را می‌طلبد.
تغییر سیاست بانک به سمت بانکداری خرد با هدف افزایش سهم بازار,۱۴۰۴/۰۲/۰۲,رئیس هیئت مدیره بانک اقتصادنوین اعلام کرد: تغییر سیاست بانک به سمت بانکداری خرد با هدف افزایش سهم بازار رئیس هیئت مدیره بانک اقتصادنوین با تاکید بر این که سهم بازار بانک باید افزایش یابد، تغییر سیاست بانک و حرکت به سمت بانکداری خرد را در همین راستا دانست و گفت: چارت سازمانی، اهداف و ماموریت ها با همین هدف اصلاح شده است. به گزارش روابط عمومی بانک اقتصادنوین، محسن زرندی مقدم در مراسم معارفه رئیس منطقه مرکز تهران که با حضور جمعی از مدیران و روسای شعب در محل مرکز آموزش بانک برگزار شد، با اشاره به این که بهینه کردن برند بانک به کار مضاعف و آموزش مداوم و مستمر نیاز دارد، اظهار کرد: هیچ یک از ارکان بانک از آموزش بی نیاز نیست و هر چه در این زمینه هزینه شود، کم است. وی افزایش سرمایه بانک از محل منابع با کیفیت را اقدامی موثر در روزهای پایانی سال گذشته خواند و با بیان این که این اقدام، توان بانک برای تسخیر بازارهای جدید را به شدت تقویت کرده است، ادامه داد: تغییر مدیران میانی بانک نیز با هدف همسو شدن بدنه در مسیر رسیدن به اهداف از پیش تعیین شده انجام می شود. زرندی مقدم پتانسیل بانک اقتصادنوین برای جذب منابع را بسیار بالا دانست و خاطرنشان کرد: همه ما باید در سود و زیان ناشی از عملکرد خود، شریک باشیم و از این رو، اعطای اختیارات لازم به شعب در کنار مطالبه گری هیئت مدیره خواهد بود. رئیس هیئت مدیره بانک اقتصادنوین توجه ویژه به بودجه ریزی انجام شده برای شعب و نیز جذب و تخصیص منابع قرض الحسنه را مورد تاکید قرار داد و افزود: جانشین پروری به عنوان یک اصل جدی در سازمان باید پذیرفته شود، به گونه ای که هر مدیری در دوره حضور خود بتواند یک یا چند نیروی متخصص با قابلیت اداره سازمان را تربیت کند. معاون بانکداری خرد بانک اقتصادنوین نیز در این جلسه با اشاره به این که بانک در بسیاری از شاخص های کلید به جهش های جدی نیازمند است، گفت: من همه اختیاراتم را به شعب تفویض می کنم و البته در قبال آن باید پاسخگوی هیئت مدیره نیز باشم. حسن مونسان پرهیز از تمرکزگرایی، توجه ویژه به مشتریان خرد و خروج از بانکداری تک محصولی را از جمله اهداف مدیریتی این دوره دانست و افزود: به زودی چندین محصول در حوزه بانکداری خرد توسط بانک اقتصاد نوین معرفی می شود تا بتواند زمینه جذب و تخصیص بهینه منابع را فراهم کند. عضو هیئت عامل بانک، توسعه بانکداری دیجیتال و نیز بانکداری هوشمند را زمینه ساز فعال شدن در بازار رقابتی کنونی دانست و خاطرنشان کرد: ما باید در بازارهای هدف، حضور میدانی داشته باشیم، چرا که ایجاد ارتباط تنگاتنگ با مشتری، راز موفقیت ماست. سعدالله عیسی‌زاده معاون سرمایه انسانی و پشتیبانی بانک نیز در این جلسه با اشاره به اقدامات انجام شده طی دوره مدیریتی جدید برای افزایش سطح انگیزه کارکنان، تاکید کرد: با توسعه این خدمات، تلاش می شود ارزشمندترین دارایی سازمان که همان سرمایه انسانی است، بیش از پیش تقویت شود. در پایان این جلسه، محسن امیری به عنوان رئیس منطقه مرکز تهران بانک اقتصاد نوین معرفی شد.
کمک 791 هزار میلیارد ریالی بانک اقتصادنوین به کاهش ناترازی انرژی,۱۴۰۴/۰۲/۰۱,کمک 791 هزار میلیارد ریالی بانک اقتصادنوین به کاهش ناترازی انرژی بانک اقتصاد نوین بیشترین حجم تسهیلات بانکداری شرکتی خود را به حوزه زیربنایی و استراتژیک نفت، گاز و پتروشیمی تخصیص داده است. به گزارش روابط عمومی بانک اقتصادنوین، نگاهی به مانده تسهیلات اعطایی بانکداری شرکتی این بانک به تفکیک بخش‌های مختلف اقتصادی نشان می‌دهد در پایان سال گذشته، بیشترین حجم مانده تسهیلات با رقمی بیش از 791 هزار میلیارد ریال، به حوزه نفت، گاز و پتروشیمی تعلق داشته است. با بروز ناترازی در حوزه انرژی، نیاز این صنایع به اجرای طرح‌های توسعه‌ای به شدت افزایش پیدا کرده و از این رو بانک اقتصادنوین نیز سهم خود را در کاهش نا ترازی‌های حوزه انرژی ایفا کرده است. این بانک تنها در سال گذشته 767 فقره تسهیلات به ارزش بیش از 350 هزار میلیارد ریال برای تخصیص به حوزه نفت، گاز و پتروشیمی تصویب و پرداخت کرده است.
اعتماد مردم به بانک اقتصادنوین با رشد 15.3 درصدی سپرده‌ها,۱۴۰۴/۰۲/۰۳,اعتماد مردم به بانک اقتصادنوین با رشد 15.3 درصدی سپرده‌ها مجموع سپرده‌های ارزی و ریالی بانک اقتصادنوین در سال گذشته بیش از 15.3 درصد رشد داشته است. به گزارش روابط عمومی بانک اقتصادنوین، مجموع مانده سپرده‌های این بانک در پایان سال گذشته بیش از 2629 هزار میلیارد ریال محاسبه شده است. بیشترین مانده سپرده‌های بانک اقتصاد نوین در سال گذشته به سپرده‌های بلندمدت سه ساله سهم 27.1 درصد و رقمی بیش از 712 هزار میلیارد ریال تعلق داشته است. همچنین بیشترین رشد سپرده با 307.6 درصد در همین نوع سپرده محقق شده است.
عهد تازه بانک اقتصادنوین برای جهشی بزرگ,۱۴۰۴/۰۲/۰۷,عهد تازه بانک اقتصادنوین برای جهشی بزرگ گردهمایی سراسری مدیران گروه اقتصادنوین با شعار «عهدمان روشن است، همدلی تا موفقیت»، با حضور مدیرعامل، اعضای هیئت مدیره و مدیران ارشد بانک اقتصادنوین، مدیران عامل شرکت های زیرمجموعه و روسای شعب بانک برگزار و سیاست های مالی و اعتباری گروه در آن تشریح شد. هم افزایی، شعار گروه اقتصادنوین است به گزارش روابط عمومی بانک اقتصادنوین، مدیرعامل بانک اقتصادنوین در این مراسم با بیان این که استراتژی بانک در سال جاری نسبت به سال‌های گذشته بسیار متفاوت است، اظهار امیدواری کرد با هم افزایی همه اعضای گروه اقتصادنوین، سرعت، کیفیت و دقت اقدامات در همه بخش‌ها افزایش یابد. محمدرضا حسین زاده با اشاره به رویکرد توسعه محور در برنامه‌های جدید بانک، افزایش سهم بازار در حوزه‌های ارزی و ریالی را الزامی دانست و ادامه داد: تولید محصولات متفاوت که به جذب مشتریان جدید منتهی خواهد شد در کنار حفظ مشتریان پیشین، می‌تواند چهره تازه‌ای از بانک را به نمایش بگذارد. حسین زاده بانک اقتصادنوین را یکی از خوشنام‌ترین بانک‌ها با نیروی انسانی توانمند و دانشمند ارزیابی و خاطرنشان کرد: شرکت‌های گروه اقتصادنوین، همه در راستای خدمات‌دهی به مردم فعالیت می‌کنند و با پرهیز از بنگاهداری، به دنبال پیاده‌سازی طرحی نوین از بانکداری در کشور هستند. وی همچنین با بیان این که با همراهی سهامداران، سرمایه بانک افزایش قابل توجهی یافته و اکنون فراتر از الزامات بانک مرکزی قرار گرفته است، ادامه داد: افزایش سرمایه، قدرت تسهیلات‌دهی بانک را ارتقا داده و در نتیجه زمینه رشد درآمد و سودآوری را فراهم می‌کند. حسین زاده با اشاره به طراحی محصولات جدید توسط این بانک با تکیه بر فناوری اطلاعات، خاطرنشان کرد: این محصولات به تدریج وارد بازار خواهند شد و به تقویت جایگاه بانک در صنعت بانکی کشور کمک خواهند کرد. مدیرعامل بانک اقتصادنوین، کاهش مطالبات غیرجاری، جذب مشتریان خرد در کنار حفظ مشتریان کلان، افزایش سهم تسهیلات تعهدی از جمله ضمانت‌نامه‌ها، اعتبارات اسنادی داخلی و خرید دین را از دیگر اقدامات پیش رو خواند و گفت: رواسی شعب باید با مسئولیت‌پذیری، زمینه‌ساز همدلی و همراهی همکاران و در نهایت بانک شوند. امسال، سال جهش بانک است رئیس هیئت مدیره بانک اقتصادنوین نیز در این مراسم با بیان این که تغییرات ایجاد شده در سطح هیئت مدیره و مدیرعامل، تغییرات بنیادین در بانک را نوید می‌دهد، گفت: با تغییر ساختارها، افزودن محصولات جدید و استفاده حداکثری از ظرفیت‌های موجود، امسال سال جهش بانک اقتصادنوین خواهد بود. محسن زرندی مقدم به افزایش سرمایه و افزایش کفایت سرمایه بانک در سال گذشته اشاره کرد و با بیان این که کارنامه بانک در حوزه سود، بسیار درخشان است، اظهار کرد: با اجرای پروژه‌های بهبود در سال جاری، روزهای درخشان‌تری در انتظار سازمان ما است. وی به لزوم تقویت فعالیت‌های ارزی بانک، رونمایی از نئوبانک و افزایش فعالیت در حوزه شرکت‌های ابزاری در اختیار بانک اشاره و خاطرنشان کرد: گرچه بانک اقتصادنوین در بسیاری بخش‌ها رتبه اول را کسب کرده است، اما اول ماندن مهم تر است و تلاش می‌کنیم که این رتبه را همچنان حفظ کنیم. رئیس هیئت مدیره بانک اقتصادنوین تاکید کرد که همه کارکنان بانک باید به اعداد و ارقام و شرایط کنونی و برنامه آینده بانک تسلط کافی داشته باشند، چرا که همه در جایگاه خود، یک بازاریاب‌اند. زرندی مقدم کادرسازی را از الزامات همیشگی در هر سازمانی خواند و گفت: هیئت مدیره این آمادگی را دارد که به صورت حداکثری، اختیارات خود را واگذار کند تا سرعت فعالیت‌ها افزایش یابد. وی همچنین با بیان این که آموزش در همه سطوح بانک باید جاری باشد، تاکید کرد: با مطالعه فعالیت‌های رقبا و نیز تازه‌ترین دستاوردهای بانکداری در جهان، باید محصولات کیفی‌تر و متمایزتر نسبت به آنچه اکنون وجود دارد ارائه کنیم. در ادامه این گردهمایی، جمعی از معاونین مدیرعامل، مدیران عامل شرکت های زیرمجموعه و روسای ادارات، اقدامات سال گذشته و برنامه های سال جاری را تشریح کردند. همچنین از هشت رئیس شعبه، یک رئیس منطقه و یک رئیس مرکز برتر به دلیل کسب رتبه بالا در تحقق اهداف بانک در شش ماه دوم سال گذشته قدردانی شد.
مزایده عمومی املاک مازاد بانک اقتصادنوین,۱۴۰۴/۰۲/۰۷,مزایده عمومی املاک مازاد بانک اقتصادنوین بانک اقتصادنوین در راستای اجرای«قانون رفع موانع تولید رقابت‌پذیر» و رعایت حداکثری دستورالعمل‌های بانک مرکزی جمهوری اسلامی ایران املاک تملیکی و مازاد خود را از طریق مزایده عمومی و با شرایط ویژه به فروش می‌رساند. به گزارش روابط عمومی بانک اقتصادنوین، شرکت سرمایه‌گذاری عمران و توسعه پایدار ایرانیان به نمایندگی از بانک اقتصادنوین قصد دارد املاک مازاد این بانک را از طریق مزایده عمومی شماره 01-1404 با شرایط پرداخت نقد / نقد و اقساط به فروش برساند. گفتنی است، جزئیات بیشتر در خصوص این مزایده در سایت اینترنتی شرکت سرمایه‌گذاری عمران و توسعه پایدار ایرانیان به نشانی www.paidariranian.ir قابل‌دسترسی و ملاک عمل است.
حمایت بانک اقتصادنوین از برگزاری اولین همایش ملی حقوق بانکی,۱۴۰۴/۰۲/۰۸,حمایت بانک اقتصادنوین از برگزاری اولین همایش ملی حقوق بانکی اولین همایش ملی حقوق بانکی با حمایت بانک اقتصادنوین از سوی اندیشکده حقوق بانکی برگزار شد. به گزارش روابط عمومی بانک اقتصادنوین، این همایش روز هفتم و هشتم اردیبهشت ماه با حضور وزیر علوم، تحقیقات و فناوری، جمعی از مقامات قضایی، مدیران عامل بانک‌ها و مدیران و کارشناسان بانک اقتصادنوین در مرکز همایش های صداوسیما برپا بود. مبانی حقوق بانکی و بانکداری اسلامی در ایران، جایگاه حقوق شهروندی در نظام پولی – بانکی، چگونگی تقویت جایگاه نظارت مؤثر بر شبکه بانکی مؤثر، چالش های حقوقی هدایت موثر اعتبارات بانکی، چالش های نظام ارزی کشور، ایده ها و راهکارها، اصلاح نظام وثیقه محور به نظام اعتبارسنجی هدفمند، آسیب شناسی حقوقی شمولیت خدمات بانکی، موانع حقوقی گسترش فناوری‌ های نوین مالی، سیاست جنایی ایران در حوزه جرایم پولی – بانکی، چالش های دعاوی بانکی در محاکم و دوایر اجرای اسناد رسمی و نقد آرای قضایی و ثبتی از جمله مباحثی بود که در این همایش دو روزه پیرامون آن بحث و گفت و گو شد. وحید ماجد، معاون سیاستگذاری اقتصادی و راهبری اقتصادی وزارت امور اقتصادی و دارایی در این همایش گفت: مشخصه مهم و هدف اصلی قانون جدید بانک مرکزی، کنترل تورم و حفظ ارزش پول ملی است. آیت‌الله سید مصطفی محقق داماد، استاد دانشگاه و حقوقدان نیز گفت: طی سال‌های گذشته حقوق بانکی رشد و تحولات زیادی را تجربه کرد؛ با این حال امنیت قضایی باید ضامن سرمایه‌گذاری شود. محمدرضا صاحبی پسندیده، معاون قضایی دادگستری استان تهران همبا بیان اینکه امسال از سوی رهبر انقلاب به عنوان سال سرمایه‌گذاری برای تولید نامگذاری شده است، گفت: کدام نهاد و سازمان به اندازه نظام بانکی در تحقق این شعار می‌تواند موثر باشد؟ نظام بانکی به عنوان تامین کننده منابع مالی حداکثری بیش از ۸۵ درصد بخش حقیقی اقتصاد را عهده دار است. همچنین یاسر مرادی، مدیر اندیشکده حقوق بانکی با بیان این که حقوق بانکی قواعد اختصاصی خود را دارد و نمی‌توان آن را با قوانین عمومی حقوق مقایسه کرد، گفت: در این رابطه تا امروز به بیش از ۵۰۰۰ نفر از وکلا و کارکنان شبکه بانکی را آموزش داده‌ایم. گفتنی است هدف اصلی این همایش، بررسی چالش‌ها و تبیین فرصت‌های موجود در حوزه حقوق بانکی، به ویژه در زمینه تسهیل مشارکت مردم در حمایت از تولید بود که نهادهایی از جمله قوه قضاییه، دانشگاه‌ تهران، دانشگاه شهید بهشتی، دانشگاه علامه طباطبایی، بانک مرکزی، سازمان قضایی نیرو‌های مسلح و مرکز حل اختلاف قوه قضاییه در برگزاری آن نقش داشتند.
اعلام آمادگی بانک اقتصادنوین برای مشارکت همه جانبه در کمک رسانی به آسیب دیدگان حادثه بندر شهید رجایی,۱۴۰۴/۰۲/۰۸,اعلام آمادگی بانک اقتصادنوین برای مشارکت همه جانبه در کمک رسانی به آسیب دیدگان حادثه بندر شهید رجایی در پی حادثه تلخ آتش‌سوزی در بندر شهید رجایی که منجر به جان‌باختن و مجروح شدن تعدادی از هموطنان عزیزمان شد، هیئت‌مدیره بانک اقتصادنوین به نیابت از خانواده بزرگ گروه مالی این بانک این ضایعه را به خانواده‌های داغدار و مردم شریف ایران تسلیت گفت. در این پیام، ضمن ابراز همدردی با خانواده‌های جان‌باختگان و آرزوی شفای عاجل برای مصدومان، تأکید شده است: «هیئت‌مدیره بانک اقتصادنوین این مصیبت بزرگ را به ملت شریف ایران تسلیت عرض می‌کند و برای آسیب‌دیدگان این حادثه ناگوار، بهبود و سلامتی مسئلت می‌کند.» همچنین، بانک اقتصادنوین در راستای مسئولیت اجتماعی خود، پس از اطلاع از حادثه، با جمعیت هلال احمر تماس گرفته و آمادگی خود را برای مشارکت در کمک‌رسانی و تأمین نیازهای ضروری آسیب‌دیدگان اعلام کرد. هیئت‌مدیره بانک اقتصادنوین با ابراز تالم عمیق از وقوع این حادثه تلخ، همزمان با اعلام آمادگی خود برای هرگونه حمایت در جهت کاهش آلام و تسکین دردهای آسیب‌دیدگان، همدردی خود را با خانواده‌های داغدار ابراز کرده و برای آنها صبر و شکیبایی آرزو می‌کند.
به‌روزرسانی سامانه‌های عملیاتی بانک اقتصادنوین,۱۴۰۴/۰۲/۱۱,به‌روزرسانی سامانه‌های عملیاتی بانک اقتصادنوین به آگاهی مشتریان ارجمند می‌رساند، در راستای اجرای عملیات به‌روزرسانی و بهینه‌سازی سرویس‌‌های عملیاتی، خدمات بانکداری الکترونیکی بانک اقتصادنوین از ساعت صفر بامداد روزهای جمعه و شنبه 12 و 13 اردیبهشت ماه 1404 حداکثر به مدت دو ساعت با اختلال همراه خواهد بود این اقدامات با هدف ارائه‌ خدمات بهتر و مطمئن‌تر به مشتریان گرامی انجام می‌شود. از همراهی و شکیبایی شما سپاسگزاریم.
