title,date,desc
مشتریان خرد به اندازه مشتریان بزرگ اهمیت دارند,۱۴۰۴/۰۲/۱۴,مشتریان خرد به اندازه مشتریان بزرگ اهمیت دارند رئیس هیئت مدیره بانک اقتصاد نوین با اشاره به این که مسیر بانک با تعیین اهداف جدید، تغییر کرده و بر همین اساس، تغییراتی از ساختار تا برنامه ها ایجاد شده است، اظهار کرد: مشتریان خرد اکنون به اندازه مشتریان بزرگ اهمیت دارند و محصولات ویژه آنها نیز طراحی و عملیاتی شده است. به گزارش روابط عمومی بانک اقتصاد نوین، محسن زرندی مقدم در همایش کارکنان شعب استان خراسان رضوی که با حضور جمعی از اعضای هیئت مدیره و هیئت عامل و نیز کارکنان شعب این استان برگزار شد، تاکید کرد: کادرسازی در سازمان بانک بر اساس شایسته سالاری است، بنابراین دریافت آموزش‌های به‌روز و تحقق اهداف، روند جانشین پروری را مشخص می کند. عضو هیئت عامل بانک نیز در این جلسه بیان این که همه کارکنان حتی در پایین ترین لایه ساختاری نیز باید رسیدن به اهداف بانک را ماموریت خود بدانند، گفت: اهداف بانک بر اساس توان کل تیم طراحی شده است. حسن مونسان منابع انسانی هوشمند را نیاز امروز بانک‌ دانست و افزود:با تلاش همه کارکنان، شهرت و خوشنامی بانک باید حفظ شده و افزایش یابد. در ادامه این جلسه، جمعی از روسا و کارکنان دیدگاه های خود را به منظور ارتقای عملکرد، بیان کردند.
افزایش 20 درصدی مانده تسهیلات پرداختی بانک اقتصادنوین,۱۴۰۴/۰۲/۱۶,افزایش 20 درصدی مانده تسهیلات پرداختی بانک اقتصادنوین مانده تسهیلات بانک اقتصادنوین در سال گذشته بیش از 22.3 درصد رشد نشان می‌دهد. به گزارش روابط عمومی بانک اقتصادنوین، مجموع مانده تسهیلات اعطایی این بانک در سال 1403 بیش از 2668 هزار میلیارد ریال بوده است. بیشترین مانده تسهیلات این بانک در بخش مرابحه با رقم 1784 هزار میلیارد ریال بوده که نسبت به سال قبل آن 12.2 درصد رشد داشته است. اطلاعات موجود نشان می‌دهد معادل ریالی مانده تسهیلات ارزی پرداختی این بانک نیز با رشد 32.7 درصدی از 598 هزار میلیارد ریال عبور کرده است.
جهش 43.5 درصدی سود بانک اقتصادنوین,۱۴۰۴/۰۲/۱۷,جهش 43.5 درصدی سود بانک اقتصادنوین نتیجه عملیات بانکداری بانک اقتصادنوین در سال گذشته، جهش 43.5 درصدی سود خالص این بانک بوده است. به گزارش روابط عمومی بانک اقتصادنوین، درآمدهای مشاع بانک در این سال 24.6 درصد و درآمدهای غیرمشاع آن 28.5 درصد افزایش داشته است. همچنین سود خالص عملیات این بانک با رقمی بیش از 126 هزار میلیارد ریال، باعث شده است که سود پایه هر سهم با 43.6 درصد رشد نسبت به سال گذشته به عدد 1264 ریال برسد.
پرداخت 68 میلیارد ریال تسهیلات قرض‌الحسنه فرزندآوری توسط بانک اقتصاد نوین,۱۴۰۴/۰۲/۲۱,در فروردین ماه انجام شد؛ پرداخت 68 میلیارد ریال تسهیلات قرض‌الحسنه فرزندآوری توسط بانک اقتصاد نوین بانک اقتصاد نوین در نخستین ماه سال جاری نزدیک به 68 میلیارد ریال تسهیلات قرض‌الحسنه فرزندآوری پرداخت کرد. به گزارش روابط عمومی بانک اقتصادنوین، آمار دریافت‌کنندگان تسهیلات قرض‌الحسنه فرزندآوری در فروردین ماه امسال که از سوی بانک مرکزی منتشر شده است نشان می‌دهد در این مدت 72 فقره پرونده درخواست تسهیلات تکمیل و به پرداخت منتهی شده است. بر اساس قانون، مبلغ تسهیلات قرض‌الحسنه فرزندآوری در سال 1404 برای فرزند اول مبلغ 440 میلیون ریال، برای فرزند دوم مبلغ 880 میلیون ریال، برای فرزند سوم مبلغ یک میلیارد و 320 میلیون ریال، برای فرزند چهارم مبلغ یک میلیارد و 650میلیون ریال و برای فرزند پنجم به بعد مبلغ دو میلیارد و 200میلیون ریال است.
فرصت ویژه بانک اقتصادنوین برای بدهکاران سنواتی,۱۴۰۴/۰۲/۲۳,فرصت ویژه بانک اقتصادنوین برای بدهکاران سنواتی بانک اقتصاد نوین، فرصتی ویژه برای تسویه یک جای بدهی بدهکاران سنواتی فراهم کرده است. به گزارش روابط عمومی بانک اقتصاد نوین، تسهیلات گیرندگان این بانک که به هر دلیلی نتوانسته‌اند در موعد مقرر به تسویه بدهی خود اقدام کنند و مشمول جرائم سنواتی شده‌اند، اکنون می‌توانند از مزایای این طرح استفاده کنند. علاقه‌مندان به استفاده از این خدمت می‌توانند حداکثر تا پایان شهریور ماه سال جاری، به شعبه ارائه دهنده تسهیلات مراجعه کرده و یا برای کسب اطلاعات بیشتر با مرکز ارتباط با مشتریان به شماره ۰۲۱۴۸۰۳۱۰۰۰ در ارتباط باشند.
نحوه فعالیت شعب بانک اقتصادنوین در روز پنج شنبه 25 اردیبهشت 1404,۱۴۰۴/۰۲/۲۴,نحوه فعالیت شعب بانک اقتصادنوین در روز پنج شنبه 25 اردیبهشت 1404 براساس ابلاغ شوراى هماهنگى بانک‌ها و در راستای همراهی با سیاست‌های مدیریت مصرف انرژی، شعب کشیک بانک اقتصادنوین در روز پنج‌شنبه 25 اردیبهشت ماه 1404 به شرح زیر از ساعت 8 تا 12 خدمات ضروری را به مشتریان گرامی ارائه خواهند کرد. ▪️ منطقه شرق تهران: دکتر بهشتی، اقدسیه، بلوار اندرزگو، خیابان دولت، شریعتی، قلهک، پاسداران، بلوار پروین، پیروزی، چهار راه آیت، نیاوران، دروس، خبرنگار، فلکه دوم نیروهوایی، هنگام شمالی ▪️ منطقه مرکز تهران: آفریقای شمالی، میدان مادر، میدان هفت تیر، قائم مقام فراهانی، میدان ونک، ۱۵خرداد غربی، سعدی شمالی (بهارستان)، طالقانی، سعدی جنوبی، دکترفاطمی، توانیر، نازی آباد، پارک ساعی، پل رومی، ولیعصر، فارابی ▪️ منطقه غرب تهران: ملاصدرا، شهرک راه آهن، آیت اله کاشانی، شهران، ولنجک، دکتر قریب، اسلامشهر، بلوار فردوس، ایران زمین، شهرک اکباتان، میدان پونک، کوی نصر، جمهوری، بازار استیل، گلشهر کرج، شهدای کرج ▪️ شعبه مستقل بلوار اسفندیار ▪️ منطقه شمال ایران: خیابان امام سمنان، میدان آزادی قزوین، میدان پانزده خرداد تاکستان، گلسار رشت، لاهیجان، خیابان فرهنگ ساری، بابلسر مازندران، خیابان امام آمل، خیابان جمهوری تنکابن، گنبدکاووس، خیابان ناهارخوران گرگان ▪️ منطقه شمال‌غرب ایران: ارتش تبریز، ۲۲بهمن تبریز، استاد شهریار تبریز، مراغه، خوی، سرداران ارومیه، مهاباد، اردبیل، زنجان، ارشاد کرمانشاه، سنندج، بانه ▪️ منطقه مرکز ایران: توحید اصفهان، بزرگمهر اصفهان، چهار باغ بالا اصفهان، بلوار وحید اصفهان، مطهری شهرضا، نجف آباد، شاهین شهر، شهرکرد، صفائیه یزد، جهاد قم، امام اراک، ، همدان، خرم آباد ▪️ منطقه جنوب ایران: عفیف آباد شیراز، مدرس شیراز، عدالت شیراز، پاسداران شیراز، قدوسی غربی شیراز، جهرم، لار، کازرون، فسا، کیانپارس اهواز، گلستان اهواز، آبادان، دزفول، بوشهر، برازجان ▪️ منطقه شرق ایران: احمدآباد مشهد، مدرس مشهد، قوچان، معلم مشهد، سبزوار، بیرجند ، میدان آزادی کرمان، بلوارآزادگان کرمان، سیرجان، جیرفت، کیش، گلشهربندرعباس از مشتریان گرامی تقاضا می‌شود با توجه به شرایط موجود حتی‌المقدور از خدمات غیر حضوری و برخط بانک نظیر همراه نوین و اینترنت بانک استفاده نمایند. همچنین مرکز ۲۴ ساعته ارتباط با مشتریان بانک اقتصادنوین به شماره 02148031000 آماده پاسخگویی و ارائه خدمات به مشتریان گرامی می‌باشد.
بزرگداشت روز ارتباطات و روابط عمومی در بانک اقتصاد نوین,۱۴۰۴/۰۲/۲۷,بزرگداشت روز ارتباطات و روابط عمومی در بانک اقتصاد نوین هم‌زمان با 27 اردیبهشت ماه، روز ارتباطات و روابط عمومی طی جلسه‌ای با حضور رئیس هیئت مدیره، مدیرعامل و جمعی از معاونان و مدیران ارشد و کارکنان اداره روابط عمومی و تبلیغات بانک اقتصادنوین، این روز گرامی داشته شد. به گزارش روابط عمومی بانک اقتصادنوین، مدیرعامل در این جلسه با تبریک به مناسبت فرارسیدن این روز، روابط عمومی در دنیای امروز را آمیخته با تکنولوژی دانست و با بیان این که ابزارهای نوین روابط عمومی، بدون خلاقیت و نوآوری کارایی لازم را ندارند، گفت: روابط عمومی نه تنها پلی میان درون سازمان و بیرون سازمان است، بلکه می‌تواند چهره سازمان را در میان مخاطبان دگرگون کند. محمدرضا حسین زاده با اشاره به این که روابط عمومی می‌تواند به خوبی با انجام نظرسنجی و افکارسنجی، نیازهای مشتریان را به درون سازمان منتقل کند، خاطرنشان کرد: انتقال درست داده‌های مورد نیاز مشتریان، می‌تواند تصمیم‌گیری‌های هیئت مدیره را هدایت کند. وی همچنین با اشاره به اقدام روابط عمومی بانک در حمایت از برنامه «سپنج»، این اقدام را بسیار هوشمندانه دانست و ادامه ارتباط با اهل علم و ادب و دانش را خواستار شد. رئیس هیئت مدیره بانک اقتصاد نوین نیز در این نشست با تبریک فرارسیدن روز ارتباطات و روابط عمومی، حمایت همه‌جانبه مادی و معنوی هیئت مدیره از این حوزه را اعلام و خاطرنشان کرد: بانک در دوره فعالیت جدید خود بر بانکداری خرد تاکید دارد و روابط عمومی باید با همه توان این تغییر استراتژی را تبیین کند. محسن زرندی مقدم توسعه اطلاع رسانی نسبت به خدمات بانک از سوی روابط عمومی را خواستار شد و گفت: اطلاع رسانی درست و به موقع، نیاز امروز بانک است و روابط عمومی باید در این زمینه پیشتاز باشد. محمدعلی رستگار سرخه عضو هیئت مدیره بانک نیز با اشاره به توسعه فضای رسانه‌ای در ایران و جهان، گفت: امروز هر فرد می‌تواند با استفاده از تلفن همراه و اینترنت، یک رسانه باشد و این شرایط، وظایف روابط عمومی را سخت می‌کند، بنابراین روابط عمومی باید در مقابل چالش‌های دنیای جدید، چابک و فعال باشد. سعدالله عیسی‌زاده معاون سرمایه انسانی و پشتیبانی بانک نیز با تاکید بر این که باید از ابزارهای نوین روابط عمومی و ارتباطات برای معرفی خدمات بانک به مشتریان استفاده کرد، گفت: بانک آمادگی دارد که همه ابزارهای مورد نیاز را در این زمینه تهیه و ارائه کند. مریم سلیمی استاد ارتباطات هم در این نشست با تاکید بر این که ساختار روابط عمومی باید منعطف و پویا باشد، گفت: تحولات دنیای امروز بسیار سریع و پیچیده است و روابط عمومی باید برای مواجهه با این موارد، برنامه دقیق و حساب شده داشته باشد. مجید رضاییان استاد ارتباطات نیز با اشاره به این که علم و تکنیک ارتباطات مانند بانکداری به سرعت در حال تحول است، گفت: روابط عمومی یا ارتباطات در دنیای امروز مانند اکسیژن است و بدون آن، ادامه حیات ممکن نیست، بنابراین باید روابط عمومی را جزء جدایی ناپذیر هر سازمان دانست و فعالیت‌ها را با هدایت آن پیش برد. علی درستکار فعال رسانه‌ای نیز با قدردانی از حمایت‌های بانک اقتصادنوین از تولید برنامه «سپنج»، این بانک را پیشتاز در عرصه حمایت از فرهنگ و هنر کشور دانست و گفت: ارتباط، یک پدیده نهاده در ذات آفرینش است و هنر نیز ابزاری برای رسیدن به تحول در این زمینه است. حسین ربانی غریبی تهیه کننده برنامه «سپنج» نیز با تاکید بر این که این برنامه، زمان و مکان ندارد، از حمایت‌های بانک اقتصاد نوین به منظور تولید و انتشار این برنامه قدردانی کرد. در پایان با رونمایی از تابلوی سپنج، از همکاران اداره روابط عمومی بانک و گروه مالی اقتصادنوین قدردانی شد.
آغاز رویداد بزرگ رسانه‌ای بانک اقتصاد نوین,۱۴۰۴/۰۲/۲۷,آغاز رویداد بزرگ رسانه‌ای بانک اقتصاد نوین همزمان با گردهمایی گرامیداشت «27 اردیبهشت ماه، روز ارتباطات و روابط عمومی» در بانک اقتصادنوین، فراخوان جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین» منتشر شد. به گزارش روابط عمومی بانک اقتصادنوین، این جشنواره با راهبرد تعمیق ارتباط متقابل میان بانک و رسانه‌ها با هدف توسعه همکاری‌ها به منظور معرفی هر چه بیشتر خدمات نظام بانکداری به جامعه برگزار می‌شود. آثار برگزیده این جشنواره که از سوی اساتید به‌نام روزنامه‌نگاری و علوم ارتباطات ارزیابی خواهند شد، همزمان با 17 مرداد ماه روز خبرنگار و در آستانه فرارسیدن بیست و چهارمین سالگرد تاسیس بانک اقتصادنوین معرفی می‌شوند. متن فراخوان جشنواره، به شرح زیر است: جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین» برگزار می‌شود در آستانه فرارسیدن هفدهم مردادماه، روز خبرنگار و هم‌زمان با بیست و چهارمین سالگرد تأسیس بانک اقتصاد نوین، جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین» با هدف گرامیداشت تلاش‌های اهالی رسانه و تعمیق ارتباط متقابل میان بانک و رسانه‌ها برگزار می‌شود. اهداف جشنواره: مروری بر بانکداری خصوصی در رسانه‌ها، از دیروز تا امروز ارائه راهکارهای تعامل بیشتر میان مثلث بانک، مشتری، رسانه نگاهی به تحولات پرتغییر عرصه بانکداری فردا از بستر واقعی تا بستر وب هوشمند تلاش توامان رسانه و بانک برای شناخت مزایا و آسیب‌های بانکداری فردا و مشتریان نسل‌ آلفا اثر رسانه در ایجاد حس تعاملی و سازنده میان بانک و بانکدار با جامعه محورهای جشنواره: معرفی ظرفیت‌های نوین ایجادشده در حوزه خدمات بانکی، مالی و اقتصادی بازتاب اقدامات بانک‌ها در حوزه مسئولیت‌های اجتماعی بررسی نقش بانک‌ها در حل چالش‌های مالی فعالان اقتصادی و بنگاه‌های تولیدی و خدماتی تحلیل نقش ربع قرن حضور بانک اقتصاد نوین به‌عنوان نخستین بانک خصوصی کشور در توسعه فضای بانکداری غیردولتی تبیین عملکرد، معرفی خدمات و محصولات بانک اقتصادنوین بخش اصلی: آثار ارسالی برای شرکت در بخش اصلی جشنواره می‌توانند در انواع قالب‌های متنی و مکتوب، صوتی، اینفوگرافی، ویدئویی و تصویری تهیه شوند. بخش محتوای متنی یا مکتوب در قالب فرم‌های عمده روزنامه‌نگاری شامل؛ خبر و گزارش خبری گزارش یادداشت / سرمقاله گفت‌وگو تیتر بخش صوتی شامل: پادکست (گزارشی، موضوعی) بخش تصویری - ویدئویی شامل: عکس طرح و اینفوگرافی کارتون انواع محتواهای ویدئویی شرایط شرکت در بخش اصلی جشنواره: همه رسانه‌های دارای مجوز رسمی از وزارت فرهنگ و ارشاد اسلامی از سراسر کشور می‌توانند در این جشنواره تخصصی شرکت کنند. محدودیتی در تعداد و تنوع آثار ارسالی وجود ندارد، اما آثار ارسالی باید منحصر به همین جشنواره بوده و پیش‌ازاین در جشنواره و یا رویداد مشابه دیگری شرکت داده نشده باشد. سقف ارسال اثر در هر رشته، ۳ اثر است و هر شرکت‌کننده تنها در دو رشته می‌تواند اثر ارسال کند. از زمان تولید آثار تا پایان زمان ارسال آن‌ها به دبیرخانه جشنواره، نباید بیش از یک سال گذشته باشد. شرکت تمامی عکاسان دارای معرفی‌نامه از سوی یک رسانه دارای مجوز، در این بخش جشنواره آزاد است. حداکثر عکس ارسالی می‌تواند ۵ فریم رنگی یا سیاه‌وسفید با سایز فایل حداقل ۳ مگابایت و رزولوشن :150dpi در فرمت JPEG باشد. شرکت‌کنندگان در جشنواره متعهد می‌شوند که آثار ارسالی متعلق به خودشان بوده است و در این خصوص مسئولیت عدم رعایت حقوق کپی‌برداری بر عهده ارسال‌کننده خواهد بود. بانک اقتصادنوین با افتخار، از آثار ارسال‌شده و انتخابی هیئت‌داوران برای درج در نشریه، آرشیو و هرگونه محتوا- با قید نام و مشخصات صاحب اثر -استفاده خواهد کرد. بخش جانبی: بانک اقتصادنوین قصد دارد از توانایی‌های «نسل کودک و نوجوان» نیز در طراحی و پیاده‌سازی اهداف استراتژیک خود استفاده کند. به این منظور، در این جشنواره نیز بخشی با عنوان «نوین نگار» را با همین هدف طراحی کرده است. در این بخش، همه آثار تهیه‌شده توسط افراد کمتر از ۱۸ سال در قالب‌های چهارگانه متنی، صوتی، تصویری و ویدئویی با محور بانک اقتصادنوین و محصولات آن ارزیابی می‌شود و به آثار برگزیده جوایز ارزنده‌ای تعلق خواهد گرفت. فعالان شبکه‌های اجتماعی نیز می‌توانند از توانایی خود برای حضور در این جشنواره بهره بگیرند. محتوای تولیدی که پیش از انتشار به تایید دبیرخانه رسیده، سپس در شبکه‌های اجتماعی با #اقتصاد_نوین و یا #نوین_نگار همراه بوده و بیشترین میزان بازدید را داشته باشند، از سوی هیئت‌داوران مورد ارزیابی و تقدیر قرار خواهند گرفت. جوایز: دبیرخانه جشنواره، جوایز 300 میلیون ریالی برای نفر برگزیده، 200میلیون ریالی برای نفر دوم و 10۰میلیون ریالی برای نفر سوم در هر یک از زیرمجوعه‌های 10 گانه بخش اصلی اهدا خواهد کرد. همچنین دو جایزه 200 میلیون ریالی و دو جایزه 1۰۰ میلیون ریالی برای آثار برگزیده «نوین نگار» و سه جایزه ۲۰۰ میلیون ریالی برای آثار برگزیده شبکه‌های اجتماعی در نظر گرفته شده است. زمان‌بندی جشنواره: مهلت نهایی ارسال آثار: ۱۵ تیرماه۱۴۰۴ پایان فرآیند داوری: ۱۰ مردادماه ۱۴۰۴ برگزاری آیین اختتامیه و اعلام نتایج: ۲۰ مردادماه ۱۴۰۴ نحوه ارسال آثار: علاقه‌مندان می‌توانند آثار خود را از طریق صفحه جشنواره در سایت بانک اقتصادنوین به دبیرخانه ارسال کنند. با احترام دبیرخانه جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین»
چهارشنبه، عرضه اولیه سهام «ولنوین»,۱۴۰۴/۰۲/۲۸,چهارشنبه، عرضه اولیه سهام «ولنوین» سهام شرکت لیزینگ بانک اقتصاد نوین با نماد «ولنوین»، روز چهارشنبه 31 اردیبهشت ماه 1404 در بازار دوم بورس عرضه اولیه می‌شود. به گزارش روابط عمومی بانک اقتصادنوین، در جلسه معارفه این شرکت که با حضور محمدعلی رستگار سرخه عضو هیئت مدیره بانک اقتصادنوین و مدیرعامل و جمعی از مدیران ارشد شرکت لیزینگ بانک اقتصاد نوین برگزار شد، ابتدا گزارشی از عملکرد شرکت در سال‌های گذشته ارائه و شرایط کنونی شرکت تشریح شد. ایمان فرجام نیا مدیرعامل لیزینگ بانک اقتصاد نوین نیز با بیان این که اکنون کمترین میزان نسبت مطالبات غیرجاری به کل تسهیلات پرداختی (NPL) صنعت لیزینگ به این شرکت تعلق دارد، گفت: حمایت‌های بانک اقتصادنوین در کمک به تامین مالی متقاضیان استفاده از خدمات شرکت، بسیار چشمگیر بوده و قابل تقدیر است. وی افزود: بسته‌های متنوعی برای متقاضیان خدمات لیزینگ اقتصادنوین طراحی شده است تا نیازهای آنها در تامین مالی خرید اقساطی و یا اجاره به شرط تملیک را برآورده کند. به گفته فرجام نیا، لیزینگ اقتصادنوین یکی از 14 شرکت لیزینگ پذیرفته شده در بورس اوراق بهادار از میان 62 شرکت لیزینگ دارای مجوز است که در شاخص سود خالص، رتبه دوم را در میان رقبا دارد. مدیرعامل لیزینگ اقتصادنوین همچنین از برنامه فروش سهام شرکت سرمایه‌گذاری اقتصادنوین و املاک تملیکی این شرکت خبر داد و افزود: شرکت طی سال‌های گذشته پیوسته در حال افزایش سرمایه بوده و بر اساس سرمایه جدید، ارزش هر سهم آن 2867 ریال است.
اعلام ترکیب هیئت داوران جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین»,۱۴۰۴/۰۲/۲۹,اعلام ترکیب هیئت داوران جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین» ترکیب هیئت داوران جشنواره «با رسانه؛ از بانکداری خصوصی تا بانکداری نوین» مشخص شد. به گزارش روابط عمومی بانک اقتصادنوین، دبیرخانه جشنواره اعلام کرد که آثار رسیده توسط اساتید علی اکبر قاضی زاده، یونس شکرخواه، فریدون صدیقی، مجید رضاییان، سیف الله صمدیان، منصور ضابطیان و مریم سلیمی داوری خواهند شد و مجید رضاییان، ریاست هیات داوران را برعهده خواهد داشت. مهلت نهایی ارسال آثار به دبیرخانه جشنواره ۱۵ تیرماه ۱۴۰۴ تعیین شده است و ۲۰ مردادماه مراسم اختتامیه آن برگزار خواهد شد. اطلاعات بیشتر درباره جشنواره در اینجا قابل مشاهده است.
افتتاح شعبه رفسنجان بانک اقتصادنوین,۱۴۰۴/۰۲/۲۹,افتتاح شعبه رفسنجان بانک اقتصادنوین شعبه رفسنجان بانک اقتصادنوین که پیش‌ازاین به‌منظور انجام عملیات بازسازی به محل موقت منتقل شده بود با اتمام عملیات بازسازی و تجهیز آماده ارائه خدمات به هموطنان گرامی است. به گزارش روابط عمومی بانک اقتصادنوین، شعبه رفسنجان (کد ۲۷۳۱) که براساس هویت بصری جدید این بانک طراحی و تجهیز شده از روز شنبه ۲۷ اردیبهشت ماه ۱۴۰۴ در محل قبلی به نشانی کرمان، رفسنجان، ابتدای خیابان مطهری، نبش کوچه شماره۳ پذیرای مشتریان ارجمند خواهد بود. شایان ذکر است، این شعبه پیش‌تر فعال بوده و اکنون با بهره‌گیری از هویت بصری جدید بانک اقتصادنوین، فعالیت خود را از سر گرفته‌است. این تغییرات در راستای بهبود تجربه مشتریان، ارتقای کیفیت خدمات و ایجاد فضایی مدرن‌تر و کاربرپسند انجام شده تا مراجعه‌کنندگان بتوانند خدمات بانکی را در محیطی بهینه‌تر و دلپذیرتر دریافت کنند.
